Category,Hiragana,Kanji,Meaning,Pronunciation,Tic
Animals,クモ,蜘蛛,spider,kumo,
Animals,ホタル,蛍,firefly,hotaru,
Animals,ハエ,蝿、蠅,housefly,hae,
Animals,カ,蚊,"mosquito, gnat",ka,
Animals,ゴキブリ,蜚蠊,cockroach,gokiburi,
Animals,カタツムリ,蝸牛,snail,katatsumuri,
Animals,ナメクジ,蛞蝓,slug,namekuji,
Animals,ミミズ,蚯蚓,earthworm,mimizu,
Animals,かい,貝,shellfish,kai,
Animals,かいがら,貝殻,shell,kaigara,
Animals,トカゲ,蜥蜴,lizard,tokage,
Animals,へび,蛇,snake,hebi,
Animals,くま,熊,bear,kuma,
Plants,しょくぶつ,植物,plants,shokubutsu,
Plants,くさ,草,grass,kusa,
Plants,はな,花,flower,hana,
Plants,み,実,fruit,mi,
Plants,き,木,tree,ki,
Plants,は,葉 (はっぱ、葉っぱ),leaf,"ha, happa",
Plants,ね,根 (ねっこ、根っ子),root,"ne, nekko",
Plants,くき,茎,stem,kuki,
Plants,きのこ,茸,mushroom,kinoko,
Plants,きく,菊,chrysanthemum,kiku,
Plants,さくら,桜,cherry blossom,sakura,
Plants,まつ,松,pine tree,matsu,
Plants,うめ,梅,Japanese plum or apricot,ume,
Crops,こめ,米,uncooked rice,kome,
Crops,いね,稲,rice growing in a field,ine,
Crops,むぎ,麦,"wheat, barley, oats",mugi,
Crops,やさい,野菜,vegetable,yasai,
Crops,くだもの,果物,fruit for eating,kudamono,
Crops,いも,芋,"yam, potato, taro",imo,
Crops,まめ,豆,"beans, peas",mame,
Crops,だいこん,大根,Japanese white radish,daikon,
Crops,にんじん,人参,carrot,ninjin,
Crops,リンゴ,林檎,apple,ringo,
Crops,ミカン,蜜柑,mandarin orange,mikan,
Crops,バナナ,甘蕉,banana,"banana, kanshō",
Crops,ナシ,梨,pear,nashi,
Crops,クリ,栗,chestnut tree,kuri,
Crops,モモ,桃,peach,momo,
Crops,トマト,蕃茄,tomato,"tomato, banka",
Crops,スイカ,西瓜,watermelon,suika,
,,,,,
Food,たべもの,食べ物,food,tabemono,
Food,ちょうしょく,朝食,breakfast,"chōshoku, asagohan",
Food,ひるごはん,昼御飯,lunch,hirugohan,
Food,ばんごはん,晩御飯,dinner,bangohan,
Food,ごはん,御飯,cooked rice or meal,gohan,
Food,みそ,味噌,miso,miso,
Food,りょうり,料理,cooking,ryōri,
Food,サラダ,-,salad,sarada,
Food,デザート,-,dessert,dezāto,
Food,パン,-,bread,pan,
Food,サンドイッチ,-,sandwich,sandoitchi,
Food,おやつ,間食,snack,"oyatsu, kanshoku",
Food,アイスクリーム,-,ice cream,aisukurīmu,
Food,たこやき,たこ焼き,octopus dumpling,takoyaki,
Drink,のみもの,飲み物,drink/beverage,nomimono,
Drink,ちゃ,茶,tea,cha,
Drink,おちゃ,お茶,green tea,ocha,
Drink,コーヒー,珈琲,coffee,kōhī,
Drink,ぎゅうにゅう,牛乳,milk,gyūnyū,
Drink,みず,水,water,mizu,
Drink,ビール,-,beer,bīru,
Drink,ワイン,-,wine,wain,
Seasoning,さとう,砂糖,sugar,satō,
Seasoning,しお,塩,salt,shio,
Seasoning,しょうゆ,醤油,soy sauce,shōyu,
Time,じかん,時間,time,jikan,
Time,とき、じ,時,~hours,"toki, ji",
Time,こよみ、カレンダー,暦,calendar,"koyomi, karendā",
Time,ふん,分,minute,fun,
Time,びょう,秒,second,byō,
Time,ひ、にち,日,day,"hi, nichi",
Time,つき、がつ,月,month,"tsuki, gatsu",
Time,とし、ねん,年,year,"toshi, nen",
Time,きのう、さくじつ,昨日,yesterday,"kinō, sakujitsu",
Time,きょう,今日,today,kyō,
Time,あした、あす、みょうにち,明日,tomorrow,"ashita, asu, myōnichi",
Time,あさ,朝,morning,asa,
Time,ひる,昼,afternoon,hiru,
Time,ゆうがた,夕方,evening,yūgata,
Time,ばん,晩,evening,ban,
Time,よる,夜,"evening, night",yoru,
Time,ようび,曜日,~day,yōbi,
Time,しゅう,週,week,shū,
Time,いっしゅうかん,一週間,one week,isshūkan,
Weather,たいよう,太陽,sun,taiyō,
Weather,つき,月,moon,tsuki,
Weather,ほし,星,star,hoshi,
Weather,てんき,天気,weather,tenki,
Weather,はれ,晴れ,clear weather,hare,
Weather,あめ,雨,rain,ame,
Weather,くもり,曇り,cloudy,kumori,
Weather,ゆき,雪,snow,yuki,
Weather,かぜ,風,wind,kaze,
Weather,かみなり,雷,"thunder, lightning",kaminari,
Weather,たいふう,台風,typhoon,taifū,
Weather,あらし,嵐,storm,arashi,
Weather,そら,空,sky,sora,
Directions and positions,きた,北,north,kita,
Directions and positions,ひがし,東,east,higashi,
Directions and positions,みなみ,南,south,minami,
Directions and positions,にし,西,west,nishi,
Directions and positions,ここ,,here,koko,
Directions and positions,そこ,,there,soko,
Directions and positions,あそこ,,over there,asoko,
Directions and positions,みぎ,右,right,migi,
Directions and positions,ひだり,左,left,hidari,
Directions and positions,うえ,上,"above, up",ue,
Directions and positions,した,下,"below, down",shita,
Directions and positions,まえ,前,front,mae,
Directions and positions,うしろ,後,behind,ushiro,
Directions and positions,むこう,向こう,"the other side, opposite side",mukō,
Directions and positions,ななめ,斜め,diagonal,naname,
Directions and positions,てまえ,手前,"nearer, more in front",tema,
Directions and positions,とおい,遠い,far,tooi,
Directions and positions,ちかい,近い,"near, close",chikai,
Materials,みず,水,water,mizu,
Materials,ゆ,湯,hot water,yu,
Materials,こおり,氷,ice,kōri,
Materials,ゆげ,湯気,steam,yuge,
Materials,ひ,火,fire,hi,
Materials,ガス,,gas,gasu,
Materials,くうき,空気,"air, atmosphere",kūki,
Materials,つち,土,"earth, ground",tsuchi,
Materials,きんぞく,金属,"metal, metallic",kinzoku,
Materials,どろ,泥,"mud, mire, clay, plaster",doro,
Materials,けむり,煙,"smoke, tobacco, opium",kemuri,
Materials,てつ,鉄,iron,tetsu,
Materials,どう,銅,copper,dō,
Materials,きん,金,gold,kin,
Materials,ぎん,銀,silver,gin,
Materials,なまり,鉛,lead,namari,
Materials,しお,塩,salt,shio,
Weights and Measures,メートル,,meter,mētoru,
Weights and Measures,リットル,,litre,rittoru,
Weights and Measures,グラム,,gram,guramu,
Weights and Measures,キロ,,kilo-,kiro,
Weights and Measures,ミリ,,milli-,miri,
Weights and Measures,センチメートル,,centimeter,senchi,
Weights and Measures,インチ,,inch,inchi,
Society,しゃかい,社会,society,shakai,
Society,けいざい,経済,"economy, economics",keizai,
Society,かいしゃ,会社,company,kaisha,
Society,かいぎ,会議,meeting,kaigi,
Society,がっこう,学校,school,gakkō,
Society,やくしょ,役所,local government office,yakusho,
Society,みせ,店,store,mise,
Society,ホテル,,hotel,hoteru,
Society,こうじょう,工場,factory,kōjō,
Society,かね,金,money,kane,
Society,さつ,札,bill (money),satsu,
Society,こぜに,小銭,small change,kozeni,
Society,つりせん,釣り銭,change (money),tsurisen,
Society,じどうはんばいき,自動販売機,vending machine,jidōhanbaiki,
Society,きっぷ,切符,ticket (public transport),kippu,
Society,きって,切手,stamp,kitte,
Home,つくえ,机,desk,tsukue,
Home,いす,椅子,"chair, position",isu,
Home,たたみ,畳,a tatami mat,tatami,
Home,と,戸,"door, family",to,
Home,とびら,扉,door panel,tobira,
Home,ドア,,door,doa,
Home,まど,窓,window,mado,
Home,ふとん,布団,futon,futon,
Home,げんかん,玄関,entrance,genkan,
Home,いえ,家,"house, home",ie,
Home,エレベーター,,elevator,erebētā,
Home,エスカレーター,,escalator,esukarētā,
Home,でんき,電気,electricity,denki,
Tools,くぎ,釘,"nail, spike",kugi,
Tools,ひも,紐,"string, cord",himo,
Tools,なわ,縄,"rope, string",nawa,
Tools,ふくろ,袋,"pocket, bag",fukuro,
